sep=,
,ScopeINITALSTART, ScopeINITALEND, ScopeDEADSTART, ScopeDEADEND, ScopeTERMINATEDSTART, ScopeTERMINATEDEND, ScopeEXECUTINGSTART, ScopeEXECUTINGEND, ScopeFAULT_HANDLINGSTART, ScopeFAULT_HANDLINGEND, ScopeFAULT_UNCOUGHTSTART, ScopeFAULT_UNCOUGHTEND, ScopeFAULTSTART, ScopeFAULTEND, ScopeCOMPLETEDSTART, ScopeCOMPLETEDEND, ScopeActivityINITALSTART, ScopeActivityINITALEND, ScopeActivityDEADSTART, ScopeActivityDEADEND, ScopeActivityTERMINATEDSTART, ScopeActivityTERMINATEDEND, ScopeActivityEXECUTINGSTART, ScopeActivityEXECUTINGEND, ScopeActivityFAULTSTART, ScopeActivityFAULTEND, ScopeActivityCOMPLETEDSTART, ScopeActivityCOMPLETEDEND, INITALSTART, INITALEND, DEADSTART, DEADEND, TERMINATEDSTART, TERMINATEDEND, EXECUTINGSTART, EXECUTINGEND, FAULTSTART, FAULTEND, COMPLETEDSTART, COMPLETEDEND, FHActivityINITALSTART, FHActivityINITALEND, FHActivityDEADSTART, FHActivityDEADEND, FHActivityTERMINATEDSTART, FHActivityTERMINATEDEND, FHActivityEXECUTINGSTART, FHActivityEXECUTINGEND, FHActivityFAULTSTART, FHActivityFAULTEND, FHActivityCOMPLETEDSTART, FHActivityCOMPLETEDEND, 
ScopeCOMPLETEDEND, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeActivityINITALSTART, EQUALS, LESS, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeActivityINITALEND, GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeActivityDEADSTART, UNRELATED, UNRELATED, EQUALS UNRELATED, LESS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeActivityDEADEND, UNRELATED, UNRELATED, UNRELATED GREATER, EQUALS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeActivityTERMINATEDSTART, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, EQUALS, LESS, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeActivityTERMINATEDEND, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, GREATER, EQUALS UNRELATED, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeActivityEXECUTINGSTART, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, EQUALS UNRELATED, LESS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeActivityEXECUTINGEND, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED GREATER, EQUALS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, UNRELATED, GREATER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ScopeActivityFAULTSTART, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, EQUALS UNRELATED, LESS UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED, UNRELATED, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, LESS EQUALS UNRELATED GREATER, UNRELATED GREATER, EQUALS UNRELATED, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
